n_designs,n_draws,n_seeds,nfe,n_borg_runs,search_t_eval_s,search_ranks_per_node,search_nodes,search_islands,search_workers,search_efficiency,search_hr_per_run,search_su,etest_n_theta,etest_r,etest_l_test,etest_scenarios,reeval_policies,reeval_sims,reeval_t_eval_s,reeval_ranks_per_node,reeval_cost_basis,reeval_su,total_su,frac_of_allocation
6,5,2,100000,60,173.8135,128,4,2,509,0.729,13.011749490724647,399720.94435506116,200,20,30,4000,600,120000,126.35900000000001,128,measured_full,4679.9629629629635,404400.90731802414,0.40440090731802414
6,5,2,100000,60,173.8135,128,4,2,509,0.729,13.011749490724647,399720.94435506116,500,10,10,5000,600,300000,23.445,128,measured_full,2170.8333333333335,401891.7776883945,0.40189177768839446
6,5,2,100000,60,173.8135,128,4,2,509,0.729,13.011749490724647,399720.94435506116,500,10,30,5000,600,300000,68.61500000000001,128,measured_full,6353.240740740742,406074.1850958019,0.4060741850958019
6,5,2,100000,60,173.8135,128,4,2,509,0.729,13.011749490724647,399720.94435506116,500,20,10,10000,600,300000,43.370999999999995,128,measured_full,4015.8333333333326,403736.7776883945,0.4037367776883945
6,5,2,100000,60,173.8135,128,4,2,509,0.729,13.011749490724647,399720.94435506116,500,20,30,10000,600,300000,126.35900000000001,128,measured_full,11699.907407407407,411420.8517624686,0.41142085176246856
6,5,2,100000,60,173.8135,128,4,2,509,0.729,13.011749490724647,399720.94435506116,1000,10,10,10000,600,600000,23.445,128,measured_full,4341.666666666667,404062.61102172785,0.40406261102172786
6,5,2,100000,60,173.8135,128,4,2,509,0.729,13.011749490724647,399720.94435506116,1000,10,30,10000,600,600000,68.61500000000001,128,measured_full,12706.481481481484,412427.4258365426,0.4124274258365426
6,5,2,100000,60,173.8135,128,4,2,509,0.729,13.011749490724647,399720.94435506116,1000,20,10,20000,600,600000,43.370999999999995,128,measured_full,8031.666666666665,407752.61102172785,0.40775261102172783
6,5,2,100000,60,173.8135,128,4,2,509,0.729,13.011749490724647,399720.94435506116,1000,20,30,20000,600,600000,126.35900000000001,128,measured_full,23399.814814814814,423120.759169876,0.423120759169876
6,5,3,25000,90,173.8135,128,4,2,509,0.729,3.2529373726811617,149895.35413314792,200,10,10,2000,600,120000,23.445,128,measured_full,868.3333333333334,150763.68746648126,0.15076368746648128
6,5,3,25000,90,173.8135,128,4,2,509,0.729,3.2529373726811617,149895.35413314792,200,10,30,2000,600,120000,68.61500000000001,128,measured_full,2541.2962962962965,152436.6504294442,0.1524366504294442
6,5,3,25000,90,173.8135,128,4,2,509,0.729,3.2529373726811617,149895.35413314792,200,20,10,4000,600,120000,43.370999999999995,128,measured_full,1606.333333333333,151501.68746648126,0.15150168746648127
6,5,3,25000,90,173.8135,128,4,2,509,0.729,3.2529373726811617,149895.35413314792,200,20,30,4000,600,120000,126.35900000000001,128,measured_full,4679.9629629629635,154575.3170961109,0.1545753170961109
6,5,3,25000,90,173.8135,128,4,2,509,0.729,3.2529373726811617,149895.35413314792,500,10,10,5000,600,300000,23.445,128,measured_full,2170.8333333333335,152066.18746648126,0.15206618746648126
