pool,selector,seed,n,lo_pct,hi_pct,L2_star_abs,L2_star_cdf,nn_min_abs,nn_cv_abs,tail_share_p90,corner_share_p90,ks_mean_vs_pool,mst_edge_mean,mst_edge_min,mst_edge_cv,zero_event_share_selected,zero_event_share_pool
pool,random,46,100,1.0,99.0,0.13653483684363613,0.009290193320440315,0.0698363617398546,0.47545026125186585,0.10500000000000001,0.47,0.07856250000000001,0.2938221982088884,0.0698363617398546,0.43653708703139643,0.01,0.007
pool,random,47,100,1.0,99.0,0.14278485454564338,0.008958878849640172,0.13240330273647602,0.4607009832760985,0.10125,0.47,0.0885,0.3048536709119363,0.13240330273647602,0.4291495916032521,0.0,0.007
pool,random,48,100,1.0,99.0,0.13679333113564085,0.010670857506441362,0.11987037122371016,0.456080763343836,0.1,0.47,0.082125,0.3022100195499507,0.11987037122371016,0.4377771401275936,0.0,0.007
pool,random,49,100,1.0,99.0,0.12102981116930701,0.00656722144443706,0.11608934817206527,0.39914958164740905,0.10500000000000001,0.55,0.1004375,0.28779486357679973,0.11608934817206529,0.35638294908572565,0.01,0.007
pool,lhs_nn,0,100,1.0,99.0,0.025774119768106053,0.011460229778303016,0.1428615866022975,0.271750387875406,0.25125,0.92,0.2258125,0.3767958433510505,0.1428615866022975,0.2403234326475654,0.0,0.007
pool,lhs_nn,1,100,1.0,99.0,0.021986677417509565,0.012010504150483488,0.14150022967657355,0.27680036823788673,0.26,0.98,0.2588125,0.3771560954986567,0.14150022967657355,0.24535342776818672,0.0,0.007
pool,lhs_nn,2,100,1.0,99.0,0.022422284020739675,0.011851117842363095,0.18295534245242562,0.26827284098422016,0.2625,0.93,0.2398125,0.38779359335276486,0.18295534245242562,0.23593094847458165,0.0,0.007
pool,lhs_nn,3,100,1.0,99.0,0.020460683470905853,0.01196460741977731,0.1629878686069284,0.26613065525288143,0.2525,0.96,0.244375,0.3856671840515831,0.1629878686069284,0.2348099623975157,0.0,0.007
pool,lhs_nn,4,100,1.0,99.0,0.021740906004648442,0.012001489037467176,0.14150022967657355,0.3159431165641701,0.265,0.96,0.2473125,0.3707466530031458,0.14150022967657355,0.2647878668358467,0.0,0.007
pool,lhs_nn,5,100,1.0,99.0,0.02644306586384227,0.011964103387654804,0.2128876050943987,0.23347961320467514,0.255,0.96,0.24937499999999999,0.386300028678199,0.2128876050943987,0.21283172656492355,0.0,0.007
