pool,selector,seed,n,lo_pct,hi_pct,L2_star_abs,L2_star_cdf,nn_min_abs,nn_cv_abs,tail_share_p90,corner_share_p90,ks_mean_vs_pool,mst_edge_mean,mst_edge_min,mst_edge_cv,zero_event_share_selected,zero_event_share_pool
pool,lhs_assign,5,100,0.5,99.5,0.048733178685246445,0.10418776382329646,0.05402481027941733,0.43890878982736065,0.37749999999999995,0.94,0.33525,0.18494185446095177,0.05402481027941733,0.3721966380202127,0.0,0.007
pool,lhs_assign,6,100,0.5,99.5,0.056006597011185794,0.10247274469080979,0.060380658337026716,0.3979479119198349,0.375,0.91,0.32875,0.1955426429387737,0.060380658337026716,0.33987714736741426,0.01,0.007
pool,lhs_assign,7,100,0.5,99.5,0.045408765209488146,0.10539399379744001,0.06864277655800163,0.4170884529175129,0.37749999999999995,0.96,0.341875,0.19139612935214267,0.06864277655800163,0.369647014084122,0.0,0.007
pool,lhs_assign,8,100,0.5,99.5,0.04893677555153195,0.10348020021054251,0.060380658337026716,0.3745414030156785,0.37749999999999995,0.95,0.32737499999999997,0.19825858771985225,0.060380658337026716,0.3207188233844701,0.01,0.007
pool,lhs_assign,9,100,0.5,99.5,0.04764645980836102,0.10494755988706285,0.060380658337026716,0.3893753465186991,0.38249999999999995,0.94,0.34524999999999995,0.19722942945973967,0.060380658337026716,0.3409968510961505,0.0,0.007
pool,maximin,0,100,0.5,99.5,0.10800047679879005,0.08323558878852606,0.21997154829254162,0.13512244709104265,0.31000000000000005,0.82,0.248,0.2668205171590043,0.21997154829254162,0.13378034940820793,0.04,0.007
pool,maximin,1,100,0.5,99.5,0.10800047679879005,0.08323558878852606,0.21997154829254162,0.13512244709104265,0.31000000000000005,0.82,0.248,0.2668205171590043,0.21997154829254162,0.13378034940820793,0.04,0.007
pool,maximin,2,100,0.5,99.5,0.10800047679879005,0.08323558878852606,0.21997154829254162,0.13512244709104265,0.31000000000000005,0.82,0.248,0.2668205171590043,0.21997154829254162,0.13378034940820793,0.04,0.007
pool,maximin,3,100,0.5,99.5,0.10800047679879005,0.08323558878852606,0.21997154829254162,0.13512244709104265,0.31000000000000005,0.82,0.248,0.2668205171590043,0.21997154829254162,0.13378034940820793,0.04,0.007
pool,maximin,4,100,0.5,99.5,0.10800047679879005,0.08323558878852606,0.21997154829254162,0.13512244709104265,0.31000000000000005,0.82,0.248,0.2668205171590043,0.21997154829254162,0.13378034940820793,0.04,0.007
pool,maximin,5,100,0.5,99.5,0.10800047679879005,0.08323558878852606,0.21997154829254162,0.13512244709104265,0.31000000000000005,0.82,0.248,0.2668205171590043,0.21997154829254162,0.13378034940820793,0.04,0.007
pool,maximin,6,100,0.5,99.5,0.10800047679879005,0.08323558878852606,0.21997154829254162,0.13512244709104265,0.31000000000000005,0.82,0.248,0.2668205171590043,0.21997154829254162,0.13378034940820793,0.04,0.007
pool,maximin,7,100,0.5,99.5,0.10800047679879005,0.08323558878852606,0.21997154829254162,0.13512244709104265,0.31000000000000005,0.82,0.248,0.2668205171590043,0.21997154829254162,0.13378034940820793,0.04,0.007
